date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:48	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202022%2012:36:48%20GMT	http://hitsz-cslab.gitee.io/robots.txt		(from )
20:36:49	16600/16600	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-40d8%22	http://hitsz-cslab.gitee.io/os-labs/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/index.html	(from )
20:36:49	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22637d7308-47e%22	http://hitsz-cslab.gitee.io/os-labs/img/favicon.ico	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/img/favicon.ico	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:50	4569/4569	---MCZ	200	added ('OK')	text/css	etag:W/%22637d7308-11d9%22	http://hitsz-cslab.gitee.io/os-labs/css/theme_extra.css	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/theme_extra.css	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:50	129978/129978	---MCZ	200	added ('OK')	text/css	etag:W/%22637d7308-1fbba%22	http://hitsz-cslab.gitee.io/os-labs/css/theme.css	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/theme.css	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:50	854/854	---M-Z	200	added ('OK')	text/css	etag:%225fe3c912-356%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/styles/github.min.css	D:/webs/hitsz/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/styles/github.min.css	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:51	1754/1754	---M-Z	200	added ('OK')	application/javascript	etag:%225fe3c912-6da%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/languages/yaml.min.js	D:/webs/hitsz/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/languages/yaml.min.js	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:52	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%22637d7308-15d9d%22	http://hitsz-cslab.gitee.io/os-labs/js/jquery-3.6.0.min.js	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/js/jquery-3.6.0.min.js	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:52	118907/118907	---M-Z	200	added ('OK')	application/javascript	etag:%225fe3c912-1d07b%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/highlight.min.js	D:/webs/hitsz/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/highlight.min.js	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:52	2246/2246	---M-Z	200	added ('OK')	application/javascript	etag:%225fe3c912-8c6%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/languages/rust.min.js	D:/webs/hitsz/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/languages/rust.min.js	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:53	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202022%2012:36:52%20GMT	http://hitsz-cslab.gitee.io/os-labs/.	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:53	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202022%2012:36:53%20GMT	http://hitsz-cslab.gitee.io/os-labs/.	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:53	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202022%2012:36:53%20GMT	http://hitsz-cslab.gitee.io/os-labs/.	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:53	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202022%2012:36:53%20GMT	http://hitsz-cslab.gitee.io/os-labs/.	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/	(from http://hitsz-cslab.gitee.io/os-labs/)
20:36:54	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202022%2012:36:53%20GMT	http://hitsz-cslab.gitee.io/os-labs/env	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/env	(from http://hitsz-cslab.gitee.io/os-labs/)
